15
7	1	1	1	1	8	20	20	20	7	1	1	1	1	8
4	0	0	0	0	2	20	31	21	4	0	0	0	0	2
4	0	12	12	0	2	20	31	20	4	0	11	11	0	2
4	0	12	12	0	2	20	31	20	4	0	11	11	0	2
4	0	0	0	0	2	20	31	20	4	0	0	0	0	2
5	3	3	3	3	6	20	31	20	5	3	3	3	3	6
20	22	20	20	20	20	47	40	41	20	20	20	20	20	20
20	32	32	32	32	32	46	48	42	34	34	34	34	34	20
20	20	20	20	20	20	45	44	43	20	20	20	20	24	20
7	1	1	1	1	8	20	33	20	7	1	1	1	1	8
4	0	0	0	0	2	20	33	20	4	0	0	0	0	2
4	0	13	13	0	2	20	33	20	4	0	14	14	0	2
4	0	13	13	0	2	20	33	20	4	0	14	14	0	2
4	0	0	0	0	2	23	33	20	4	0	0	0	0	2
5	3	3	3	3	6	20	20	20	5	3	3	3	3	6
